Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Job Link
Senior Software Developer,TAQA Arabia,"Maadi, Cairo, Egypt",3 hours ago,Full Time,Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Information Technology (IT)· Software Development· jQuery· JavaScript· Software· Software Engineering,
Inventory / Warehouse Superintendent,Sukari Gold Mines,"Qusayr, Red Sea, Egypt",3 hours ago,Full Time,Senior Management · 12 - 16 Yrs of Exp · Logistics/Supply Chain· Warehousing Management· Inventory Control· Materials Control· Supply Chain· Logistics Management· Supply· Planning,
Customer Service Coordinator - Cairo,Misr Elkheir Foundation,"Mokattam, Cairo, Egypt",3 hours ago,Full Time,Entry Level · 1 - 3 Yrs of Exp · Administration · Customer Service/Support· Customer Service· Customer Care· Customer Support· Communication skills· Communication· Administration,
Project Associate - Bakeries & Speciality,InstaShop,"Giza, Egypt",3 hours ago,Full Time,Experienced · 0 - 2 Yrs of Exp · Business Development · Marketing/PR/Advertising · Project/Program Management· Project Management· Communication skills· Communication· Commercial· Marketing· Ecommerce· Marketing Research,
Life Cycle Assessment Expert (LCA EXPERT),Collars HR,"New Cairo, Cairo, Egypt",3 hours ago,Full Time,Manager · 4 - 6 Yrs of Exp · Engineering - Oil & Gas/Energy· Mining Engineering· Environmental Engineering· Environmental Science,
Information Security Analyst,Confidential,"Maadi, Cairo, Egypt",3 hours ago,Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research· Information Security· IT· Computer Science· Information Systems· CEH· Security Systems· CISM,
Training Supervisior,Etisalat Egypt,"Maadi, Cairo, Egypt",3 hours ago,Full Time,Manager · 3 - 5 Yrs of Exp · Training/Instructor· Training· Training of Trainers,
Senior E Commerce Specialist,Confidential,"Sheraton, Cairo, Egypt",3 hours ago,Full Time,Experienced · 2 - 3 Yrs of Exp · Marketing/PR/Advertising· E-Marketing· Marketing· Shopify· Social Media· Design· Web Design· Digital Marketing,
cost controller accountant,Confidential,"Heliopolis, Cairo, Egypt",3 hours ago,Full Time,Experienced · 5 - 6 Yrs of Exp · Accounting/Finance · Engineering - Construction/Civil/Architecture · Project/Program Management· Accounting· Cost· Cost Accounting· Finance· Financial Analysis· Financial Reporting,
Store Keeper,Sinomacdi,"Biyala, Kafr Alsheikh, Egypt",3 hours ago,Full Time,Experienced · 2 - 4 Yrs of Exp · Administration · Logistics/Supply Chain· Materials Selection· Construction· QA· Quality Assurance· Quality Control,
Warehouse Manager,IMUT International Marathon United Technology,"Obour City, Cairo, Egypt",3 hours ago,Full Time,Manager · 5 - 7 Yrs of Exp · Logistics/Supply Chain· Warehouse· Supply Chain· Warehouse Management· Warehousing· Logistics,
Senior Android Developer,Centro CDX,"Maadi, Cairo, Egypt",3 hours ago,Part Time - Freelance / Project - Work From Home,Experienced · 3+ Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology· Mobile Development· Swift· Android SDK· Software Development· Computer Science· Information Technology (IT)· Android,
مسئول مشتريات محليه,Nile Supply,"Mohandessin, Giza, Egypt",3 hours ago,Full Time,Experienced · 3 - 5 Yrs of Exp · Purchasing/Procurement· Purchasing· Procurement,
Senior Accountant,HITS Technologies,"Nasr City, Cairo, Egypt",3 hours ago,Full Time,Experienced · 2 - 5 Yrs of Exp · Accounting/Finance · Banking · IT/Software Development· Finance· Accounting· Commerce· Transactions· Financial Management· Financial Analysis· Accounts Payable,
Secretary,Amer vision,"Sheraton, Cairo, Egypt",3 hours ago,Full Time,Experienced · 1 - 3 Yrs of Exp · Administration · Operations/Management· Administration· Office management· Communication skills· English· Microsoft Office· Secretary,
HR Specialist (Chinese Speaker),Confidential,"Cairo, Egypt",4 hours ago,Full Time,Experienced · 2 - 5 Yrs of Exp · Human Resources· English· excel· Governmental· HR· Human Resources (HR)· Payroll· Recruitment· Personnel· Chinese Translation,
HR Business Partner,Confidential,"Nasr City, Cairo, Egypt",4 hours ago,Full Time,Manager · 15 - 20 Yrs of Exp · Human Resources· Human Resources· HR Systems· Human Resources (HR)· HR· Recruitment· Construction· Performance Management· Compensation· Labour Law,
مهندس كهرباء,Confidential,"Qalubia, Egypt",4 hours ago,Full Time,Experienced · 4 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical· Electrical Engineering· Electromechanical Engineering· مهندس,
